"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.7482443920116","72.7771778649089","72.7248951559628","72.7105591550868","72.7997380797386","72.8088802130156","72.7628512897334","72.7221288919619","72.6803148060495","72.6456970485638","72.6388522075128","72.6793220924187","72.7259099519083","72.7687836030991","72.8283981626516","72.7015271299334","72.5320557717621","72.3671483048041","72.0122645669073","71.3888139257203","71.4923219082574","71.3454190764108","71.3619942179061","71.2812794499885","71.3995152292559","71.3907226774646","71.4035239536645","71.2724736529211","71.2295003957557","70.3723326846365","70.7257684011117","71.0689090352535","",
"Afghanistan","AFG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.039","48.031","48","47.957","47.92","47.856","47.81","47.789","47.788","47.795","47.84","47.909","47.991","48.079","48.169","48.098","48.054","48.018","47.978","47.952","48.005","48.08","48.176","48.268","48.358","48.449","48.541","46.738","44.939","42.609","42.224","38.5","",
"Africa Western and Central","AFW","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.5746171547552","66.4895857435847","66.3734557341052","66.2346110982351","66.0998461754567","66.0264527226533","65.9426896806462","65.8555620186289","65.7601541764664","65.6715272763011","65.6357302058124","65.6133398935218","65.5475626565273","65.5076574955836","65.4216102851698","65.360496961282","65.2747219367253","65.0885526341424","64.889473437028","64.6753896527542","64.5156238547488","64.065612088746","63.5938412200531","63.1976654769361","63.0098068358914","62.9940745489467","62.6489573790303","62.5570662689284","62.4803005043422","61.8189288423027","61.9448875180378","62.4313280369174","",
"Angola","AGO","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.84","77.83","77.747","77.734","77.744","77.781","77.786","77.77","77.735","77.696","77.696","77.715","77.693","77.696","77.715","77.76","77.808","77.844","77.84","77.844","77.83","77.597","77.361","77.122","76.881","76.64","76.397","76.153","75.908","76.009","77.327","76.156","",
"Albania","ALB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.274","69.963","69.319","68.804","67.988","67.498","68.47","67.997","67.313","67.038","66.711","66.68","65.791","64.889","63.963","63.005","62.024","61.024","63.439","63.848","68.617","64.927","60.254","61.926","64.775","66.911","67.665","69.035","70.373","67.363","68.684","71.367","",
"Andorra","AND","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.2656164584143","49.5124696813588","49.7668310475602","49.9347085814435","49.6534763295513","49.467159161736","49.2711342217172","49.042251456467","49.4780154483072","49.2302728200397","48.749520376525","48.1827077314571","48.3862717272369","48.5693222474909","48.7439935576282","48.955560966663","49.2149682159734","49.2168077069024","49.3145044763216","49.7930414871506","49.8175911708989","49.5782999608229","49.8330987811588","49.6283913244166","49.2803730756203","49.2921202131329","48.58898005914","48.2901177714837","48.2174088590133","47.1855322620059","47.7675548849813","48.5202893082049","",
"United Arab Emirates","ARE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.539","74.882","75.444","75.855","76.285","76.262","75.715","75.29","75.055","75.049","75.285","75.753","76.414","77.212","77.619","77.309","76.795","76.66","77.068","77.829","78.657","79.367","79.981","80.532","81.054","81.627","82.246","82.864","83.384","83.201","82.532","83.658","",
"Argentina","ARG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.457","67.34","68.248","68.875","68.425","69.004","69.875","70.238","69.703","69.497","68.823","67.255","68.213","69.193","68.53","68.908","68.372","67.822","68.175","67.626","68.216","68.137","67.737","67.001","66.813","66.619","66.423","67.385","68.081","63.66","68.699","68.413","",
"Armenia","ARM","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.042","70.114","70.13","70.128","70.113","70.075","70.051","70.03","69.95","69.826","69.695","69.522","69.335","69.168","69.003","68.845","68.706","68.412","69.04","69.111","69.154","69.192","69.395","69.636","69.964","70.371","70.725","71.053","72.818","72.361","73.386","72.719","",
"American Samoa","ASM","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.915","72.761","72.521","73.138","73.909","73.977","73.531","73.454","73.254","73.71","73.956","74.057","74.41","74.296","75.335","75.77","76.155","76.474","76.377","76.411","76.616","76.394","76.379","76.28","76.909","76.908","77.422","77.991","78.435","77.697","78.818","79.521","",
"Austria","AUT","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.959","68.839","68.986","71.342","71.937","71.406","71.087","71.602","71.829","71.427","70.849","71.719","71.992","70.951","71.731","72.682","73.776","74.216","74.642","74.676","74.857","75.421","75.81","75.689","75.793","76.561","76.709","77.132","77.392","77.032","77.776","78.469","",
"Azerbaijan","AZE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.639","78.45","80.575","82.542","83.786","83.889","83.639","83.104","82.744","82.096","79.96","77.927","75.893","73.544","71.882","70.102","66.758","65.368","65.403","65.138","65.379","65.83","66.218","67.212","67.937","69.334","70.091","70.8","74.124","73.303","74.299","76.589","",
"Burundi","BDI","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.429","89.875","89.179","88.438","87.777","86.953","86.033","85.095","84.279","83.438","82.595","81.736","80.857","79.966","79.015","78.002","78.256","78.484","78.796","79.095","79.271","79.442","79.614","79.745","80.059","80.249","80.309","80.275","80.048","79.066","79.21","79.278","",
"Belgium","BEL","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.234","60.795","61.077","61.969","62.376","62.426","62.821","63.434","64.631","65.282","63.654","64.119","64.28","65.287","66.708","66.467","66.976","67.078","66.904","67.656","66.727","66.941","67.546","67.705","67.566","67.58","68.613","69.21","69.625","69.084","70.193","71.158","",
"Benin","BEN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.9","72.871","72.831","72.794","72.767","72.735","72.7","72.664","72.627","72.59","72.553","72.515","72.519","72.524","72.529","72.535","72.543","72.55","72.555","72.559","72.565","71.334","70.069","68.768","67.441","66.09","64.712","63.309","63.266","62.668","61.677","63.038","",
"Burkina Faso","BFA","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.702","85.018","84.33","83.609","82.891","82.171","81.411","80.636","79.841","79.004","78.166","77.304","76.442","75.551","74.662","73.741","72.942","72.13","71.306","70.469","69.617","68.746","67.85","66.931","66.873","66.826","66.779","66.729","66.671","66.028","66.429","66.548","",
"Bangladesh","BGD","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.089","59.136","59.203","59.282","59.368","59.334","59.314","59.308","59.317","59.329","59.312","59.318","59.34","59.367","59.394","59.353","59.192","59.032","58.87","58.707","58.545","58.382","58.213","58.043","57.882","57.731","60.402","60.644","60.865","60.351","61.236","60.881","",
"Bulgaria","BGR","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.338","68.822","68.032","67.206","66.347","65.46","64.552","63.65","62.786","61.907","63.601","62.891","61.548","62.588","61.808","63.839","65.506","66.98","66.271","67.086","66.35","67.479","68.824","69.435","69.7","69.027","71.708","71.9","73.687","72.629","72.551","74.13","",
"Bahrain","BHR","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.932","66.874","66.787","66.708","66.665","66.668","66.729","66.874","67.132","67.511","67.99","68.545","68.948","69.102","69.318","69.797","70.514","71.406","72.386","73.07","72.484","72.836","72.965","72.598","72.523","72.961","73.498","73.958","74.151","73.269","73.631","74.131","",
"Bahamas, The","BHS","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.001","76.695","77.366","78.005","78.259","78.468","78.799","78.655","79.178","79.351","79.472","79.576","79.492","79.471","79.573","79.661","79.665","79.49","79.242","79.203","79.137","79.19","79.011","79.003","78.968","79.002","79.107","79.224","79.281","73.872","76.277","78.164","",
"Bosnia and Herzegovina","BIH","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.564","49.48","49.21","48.899","48.578","48.414","48.305","48.35","48.457","48.536","48.663","49.187","49.677","50.136","50.569","50.969","51.76","53.011","53.21","54.073","53.832","54.057","53.911","55.146","55.537","55.682","55.809","56.084","57.265","57.784","60.999","61.552","",
"Belarus","BLR","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.591","68.765","68.913","69.287","69.74","69.759","69.584","69.589","69.768","70.489","71.126","71.659","72.114","72.512","72.906","73.291","73.653","74","74.314","74.648","75.093","75.618","76.154","76.681","77.142","77.547","77.932","78.152","78.354","78.497","78.826","79.331","",
"Belize","BLZ","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.697","58.069","58.185","58.052","59.006","59.977","60.952","60.764","61.377","61.631","61.877","62.116","62.354","62.595","62.836","63.08","63.325","63.573","63.827","64.075","64.318","64.571","64.835","65.833","66.214","66.598","66.23","66.186","66.099","64.11","64.796","66.322","",
"Bermuda","BMU","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.492","70.451","70.695","71.003","71.303","71.567","71.879","72.415","72.944","71.641","71.578","71.494","71.414","71.338","71.267","74.273","72.108","73.167","73.588","73.616","73.647","70.189","70.663","72.86","68.45","68.833","69.987","73.215","72.365","71.581","70.132","72.014","",
"Brazil","BRA","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.944","67.171","67.397","67.623","67.846","66.162","67.119","67.3","68.021","68.295","68.559","69.577","69.497","70.206","70.996","70.651","70.439","70.292","70.642","69.499","68.324","68.955","69.023","68.976","69.454","69.736","70.185","70.367","70.989","66.601","69.062","70.279","",
"Barbados","BRB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.834","76.049","76.911","77.79","78.567","77.509","78.44","78.331","78.332","79.27","80.179","78.897","79.681","80.012","79.784","77.759","77.609","77.419","77.495","77.554","77.587","76.188","76.571","74.074","74.056","75.65","74.809","73.908","73.27","72.011","72.782","74.369","",
"Brunei Darussalam","BRN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.564","67.866","68.176","68.493","68.818","69.142","69.459","69.768","70.071","70.37","70.667","70.531","70.398","70.271","70.153","70.033","69.904","69.759","69.595","69.422","69.286","68.738","68.209","67.696","67.195","66.709","66.238","68.88","67.924","67.678","68.13","69.115","",
"Bhutan","BTN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.248","72.047","71.856","71.658","71.451","71.415","71.406","71.419","71.475","71.574","71.656","71.766","71.901","72.037","72.166","72.132","72.098","72.071","72.06","70.337","69.324","66.646","67.418","64.525","65.633","65.421","65.172","64.895","68.612","70.103","71.237","72.256","",
"Botswana","BWA","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.905","60.738","60.554","60.351","60.131","59.936","59.714","59.445","59.051","58.649","58.915","59.179","59.444","59.708","59.971","60.232","61.43","62.617","63.792","60.608","61.178","61.748","62.315","62.889","63.47","64.053","64.638","65.226","65.816","64.225","66.331","66.847","",
"Central African Republic","CAF","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.754","70.71","70.676","70.644","70.606","70.587","70.588","70.574","70.545","70.484","70.524","70.542","70.52","70.524","70.511","70.577","70.635","70.674","70.711","70.714","70.836","70.941","70.876","70.915","70.948","70.872","70.776","70.662","70.54","69.864","69.883","70.484","",
"Canada","CAN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.618","75.774","75.536","75.37","75.138","75.072","75.372","75.74","76.321","76.668","76.883","77.93","78.665","78.614","78.19","78.141","78.678","78.778","78.326","78.168","78.121","78.101","78.323","78.026","78.209","78.344","78.646","78.607","79.132","77.693","79.439","79.762","",
"Central Europe and the Baltics","CEB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.6432052210442","69.559710871325","68.9507519207935","68.3778447931143","67.8156089861119","67.3109059262524","66.9793849112862","66.5850347193514","66.3501187991831","66.4075935115907","66.3269640323098","65.0060604497007","64.6767634776812","64.6766599390073","64.5882322315307","64.7482525361702","64.8653183752871","65.2722750813127","65.6596428062936","66.3100800491486","66.3023098762274","67.0974237195782","67.6579758388235","68.6364948974841","69.1637493077391","69.5664709706861","70.6703821406773","71.1922581316217","71.7469101884621","71.9210463569807","72.4167227704612","73.0381476060963","",
"Switzerland","CHE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.449","76.741","77.164","76.203","76.575","80.069","80.232","81.103","80.929","80.521","81.189","81.21","81.271","80.905","80.807","81.226","81.588","82.284","82.401","81.263","81.92","82.163","82.289","82.77","83.177","83.729","83.81","84.04","84.153","83.923","83.611","83.231","",
"Channel Islands","CHI","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.539","68.71","68.697","68.826","69.209","69.766","70.153","70.521","70.936","70.953","71.732","72.432","72.806","72.689","72.531","72.191","71.862","72.214","72.499","72.234","71.847","72.029","72.165","72.264","72.44","72.58","72.62","72.673","72.775","72.009","72.38","72.708","",
"Chile","CHL","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.719","57.94","58.656","59.193","60.174","60.911","61.007","61.175","61.326","60.652","59.846","59.431","59.991","60.459","60.789","62.016","62.581","63.988","63.883","64.233","65.51","65.346","65.473","65.799","65.795","65.6","66.005","66.127","65.821","63.139","64.766","67.788","",
"China","CHN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.797","83.6","83.425","83.247","83.062","82.865","82.652","82.457","82.265","82.051","81.601","81.122","80.619","80.091","79.544","79.011","78.483","77.94","77.395","76.86","76.878","76.555","76.275","76.16","76.067","75.932","75.712","75.495","75.389","74.291","75.839","75.933","",
"Cote d'Ivoire","CIV","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.924","65.84","65.734","65.623","65.541","65.553","65.538","65.52","65.556","65.592","65.629","65.669","65.71","65.747","65.781","65.814","65.846","65.877","65.908","65.938","65.962","65.977","65.99","66.002","66.015","66.033","66.053","66.075","66.099","65.467","65.607","65.786","",
"Cameroon","CMR","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.335","83.303","83.228","83.184","83.126","83.088","83.033","82.958","82.873","82.781","82.728","82.673","82.618","82.573","82.506","82.484","82.459","80.768","78.959","77.033","75.993","74.928","73.834","72.71","72.678","72.646","72.6","72.545","72.481","71.787","71.476","72.463","",
