indicator_name,year,value
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),1998,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),1999,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2000,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2001,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2002,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2003,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2004,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2005,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2006,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2007,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2008,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2009,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2010,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2011,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2012,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2013,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2014,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2015,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2016,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2017,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2018,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2019,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2020,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2021,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2022,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),2023,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),1998,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),1999,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2000,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2001,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2002,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2003,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2004,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2005,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2006,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2007,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2008,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2009,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2010,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2011,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2012,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2013,
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2014,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2015,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2016,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2017,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2018,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2019,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2020,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2021,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2022,1
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),2023,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),1998,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),1999,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2000,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2001,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2002,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2003,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2004,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2005,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2006,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2007,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2008,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2009,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2010,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2011,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2012,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2013,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2014,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2015,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2016,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2017,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2018,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2019,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2020,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2021,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2022,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),2023,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),1998,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),1999,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2000,
