indicator_name,missing_percentage
 Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),61.53846153846154
 Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),61.53846153846154
 Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),61.53846153846154
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),61.53846153846154
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),61.53846153846154
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),61.53846153846154
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",34.61538461538461
"Completion rate, lower secondary education, both sexes (%)",46.15384615384615
"Completion rate, primary education, both sexes (%)",46.15384615384615
"Completion rate, upper secondary education, both sexes (%)",46.15384615384615
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",46.15384615384615
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",46.15384615384615
"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, both sexes (%)",46.15384615384615
"Educational attainment rate, completed lower secondary education or higher, population 25+ years, both sexes (%)",42.30769230769231
"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, both sexes (%)",50.0
"Educational attainment rate, completed primary education or higher, population 25+ years, both sexes (%)",42.30769230769231
"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, both sexes (%)",42.30769230769231
"Educational attainment rate, completed upper secondary education or higher, population 25+ years, both sexes (%)",42.30769230769231
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",42.30769230769231
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",42.30769230769231
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",42.30769230769231
"Gross attendance ratio for tertiary education, both sexes (%)",46.15384615384615
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",76.92307692307693
"Gross intake ratio to the last grade of primary education, both sexes (%)",69.23076923076923
Initial government funding per lower secondary student as a percentage of GDP per capita,38.46153846153847
"Initial government funding per lower secondary student, constant PPP$",38.46153846153847
Initial government funding per upper secondary student as a percentage of GDP per capita,38.46153846153847
"Initial government funding per upper secondary student, constant PPP$",38.46153846153847
Initial household funding per primary student as a percentage of GDP per capita,50.0
"Initial household funding per primary student, constant PPP$",50.0
Initial household funding per secondary student as a percentage of GDP per capita,50.0
"Initial household funding per secondary student, constant PPP$",50.0
Initial household funding per tertiary student as a percentage of GDP per capita,46.15384615384615
"Initial household funding per tertiary student, constant PPP$",46.15384615384615
Initial private expenditure on education (household) as a percentage of GDP (%),53.84615384615385
International expenditure on education as a percentage of GDP (%),23.076923076923077
"Literacy rate, adult total (% of people ages 15 and above)",100.0
"Net enrolment rate, pre-primary, both sexes (%)",30.76923076923077
"Number of attacks on students, personnel and institutions",69.23076923076923
"Out-of-school rate for children one year before the official primary entry age, both sexes (%)",34.61538461538461
"Percentage of students experiencing bullying in the last 12 months in lower secondary education, both sexes (%)",92.3076923076923
"Percentage of students in lower secondary education who have their first or home language as language of instruction, both sexes (%)",84.61538461538461
Percentage of total aid to education allocated to least developed countries (%),50.0
Percentage of youth/adults who have achieved at least a minimum level of proficiency in digital literacy skills (%),96.15384615384616
"Proportion of children/young people at the age of lower secondary education prepared for the future in mathematics, both sexes (%)",69.23076923076923
"Proportion of children/young people at the age of lower secondary education prepared for the future in reading, both sexes (%)",69.23076923076923
"Proportion of children/young people at the age of primary education prepared for the future in mathematics, both sexes (%)",80.76923076923077
"Proportion of children/young people at the age of primary education prepared for the future in reading, both sexes (%)",80.76923076923077
"Proportion of population achieving at least a fixed level of proficiency in functional literacy skills, both sexes (%)",96.15384615384616
"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, both sexes (%)",96.15384615384616
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",69.23076923076923
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, both sexes (%)",69.23076923076923
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",80.76923076923077
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)",80.76923076923077
"Proportion of youth and adults who have connected and installed new devices, both sexes (%)",96.15384615384616
"Proportion of youth and adults who have copied or moved a file or folder, both sexes (%)",80.76923076923077
"Proportion of youth and adults who have created electronic presentations with presentation software, both sexes (%)",80.76923076923077
"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",84.61538461538461
"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",80.76923076923077
"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, both sexes (%)",80.76923076923077
"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, both sexes (%)",84.61538461538461
"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",80.76923076923077
