indicator_name,missing_percentage
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",0.0
"Completion rate, primary education, both sexes (modelled data) (%) ",0.0
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",0.0
Expenditure on education as a percentage of total government expenditure (%),3.8461538461538463
Government expenditure on education as a percentage of GDP (%),3.8461538461538463
"Gross enrolment ratio for tertiary education, both sexes (%)",3.8461538461538463
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",3.8461538461538463
Number of years of compulsory pre-primary education guaranteed in legal frameworks,0.0
Number of years of compulsory primary and secondary education guaranteed in legal frameworks,0.0
Number of years of free pre-primary education guaranteed in legal frameworks,0.0
Number of years of free primary and secondary education guaranteed in legal frameworks,0.0
"Out-of-school rate for children of primary school age, both sexes (%)",3.8461538461538463
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",0.0
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-64 years old, both sexes (%)",0.0
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 25-54 years old, both sexes (%)",0.0
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 55-64 years old, both sexes (%)",0.0
"School enrollment, primary (% gross)",3.8461538461538463
"School enrollment, tertiary (% gross)",3.8461538461538463
