indicator_name,missing_percentage
Gini index,7.6923076923076925
Income share held by highest 20%,7.6923076923076925
Income share held by lowest 20%,7.6923076923076925
Initial government expenditure on education as a percentage of GDP (%),11.538461538461538
Initial government funding per pre-primary student as a percentage of GDP per capita,11.538461538461538
"Initial government funding per pre-primary student, constant PPP$",11.538461538461538
Initial government funding per primary student as a percentage of GDP per capita,11.538461538461538
"Initial government funding per primary student, constant PPP$",11.538461538461538
Initial government funding per secondary student as a percentage of GDP per capita,11.538461538461538
"Initial government funding per secondary student, constant PPP$",11.538461538461538
Initial government funding per tertiary student as a percentage of GDP per capita,11.538461538461538
"Initial government funding per tertiary student, constant PPP$",11.538461538461538
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",7.6923076923076925
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",7.6923076923076925
"Out-of-school rate for adolescents of lower secondary school age, both sexes (modelled data) (%) ",7.6923076923076925
"Out-of-school rate for children of primary school age, both sexes (modelled data) (%) ",7.6923076923076925
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",7.6923076923076925
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",7.6923076923076925
"Out-of-school rate for youth of upper secondary school age, both sexes (modelled data) (%) ",7.6923076923076925
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),7.6923076923076925
"Proportion of 15- to 24-year-olds enrolled in vocational education, both sexes (%)",7.6923076923076925
"School enrollment, secondary (% gross)",7.6923076923076925
